ID,SalesOrder_ID,InvoiceDate,DueDate,TotalAmount,TaxAmount,Status,PaidOn,createdAt,createdBy,modifiedAt,modifiedBy
990e8400-e29b-41d4-a716-446655440006,880e8400-e29b-41d4-a716-446655440010,2026-05-20,2026-05-27,79900.00,14382.00,GENERATED,,2026-05-20T14:00:00Z,admin,2026-05-20T14:00:00Z,admin
990e8400-e29b-41d4-a716-446655440007,880e8400-e29b-41d4-a716-446655440011,2026-05-20,2026-05-27,114900.00,20682.00,PAID,2026-05-21,2026-05-20T14:10:00Z,admin,2026-05-21T09:00:00Z,admin
990e8400-e29b-41d4-a716-446655440008,880e8400-e29b-41d4-a716-446655440012,2026-05-20,2026-05-28,41900.00,7542.00,UNPAID,2026-05-22,2026-05-20T14:20:00Z,admin,2026-05-22T10:00:00Z,admin
990e8400-e29b-41d4-a716-446655440009,880e8400-e29b-41d4-a716-446655440013,2026-05-20,2026-05-26,29990.00,5398.20,CANCELLED,,2026-05-20T14:30:00Z,admin,2026-05-20T14:30:00Z,admin
990e8400-e29b-41d4-a716-446655440010,880e8400-e29b-41d4-a716-446655440014,2026-05-21,2026-05-29,10995.00,1979.10,DRAFT,,2026-05-21T14:00:00Z,admin,2026-05-21T14:00:00Z,admin
990e8400-e29b-41d4-a716-446655440011,880e8400-e29b-41d4-a716-446655440015,2026-05-21,2026-05-30,18999.00,3419.82,GENERATED,,2026-05-21T14:10:00Z,admin,2026-05-21T14:10:00Z,admin
990e8400-e29b-41d4-a716-446655440012,880e8400-e29b-41d4-a716-446655440016,2026-05-21,2026-05-28,42999.00,7739.82,PAID,2026-05-23,2026-05-21T14:20:00Z,admin,2026-05-23T11:00:00Z,admin
990e8400-e29b-41d4-a716-446655440013,880e8400-e29b-41d4-a716-446655440017,2026-05-21,2026-05-27,37999.00,6839.82,OVERDUE,,2026-05-21T14:30:00Z,admin,2026-05-21T14:30:00Z,admin
990e8400-e29b-41d4-a716-446655440014,880e8400-e29b-41d4-a716-446655440018,2026-05-22,2026-05-29,58990.00,10618.20,GENERATED,,2026-05-22T14:00:00Z,admin,2026-05-22T14:00:00Z,admin
990e8400-e29b-41d4-a716-446655440015,880e8400-e29b-41d4-a716-446655440019,2026-05-22,2026-05-30,11999.00,2159.82,PAID,2026-05-23,2026-05-22T14:10:00Z,admin,2026-05-23T12:00:00Z,admin
990e8400-e29b-41d4-a716-446655440016,880e8400-e29b-41d4-a716-446655440020,2026-05-22,2026-05-28,145000.00,26100.00,OVERDUE,,2026-05-22T14:20:00Z,admin,2026-05-22T14:20:00Z,admin
990e8400-e29b-41d4-a716-446655440017,880e8400-e29b-41d4-a716-446655440021,2026-05-22,2026-05-31,1499.00,179.88,PAID,2026-05-22,2026-05-22T14:30:00Z,admin,2026-05-22T15:00:00Z,admin
990e8400-e29b-41d4-a716-446655440018,880e8400-e29b-41d4-a716-446655440022,2026-05-22,2026-05-29,74999.00,13499.82,CANCELLED,,2026-05-22T14:40:00Z,admin,2026-05-22T14:40:00Z,admin
990e8400-e29b-41d4-a716-446655440019,880e8400-e29b-41d4-a716-446655440023,2026-05-22,2026-05-30,17999.00,3239.82,GENERATED,,2026-05-22T14:50:00Z,admin,2026-05-22T14:50:00Z,admin
990e8400-e29b-41d4-a716-446655440020,880e8400-e29b-41d4-a716-446655440024,2026-05-22,2026-05-31,62999.00,11339.82,DRAFT,,2026-05-22T15:00:00Z,admin,2026-05-22T15:00:00Z,admin
