ID,Customer_ID,OrderDate,Status,TotalAmount,ShippingAddress,createdAt,createdBy,modifiedAt,modifiedBy
880e8400-e29b-41d4-a716-446655440010,550e8400-e29b-41d4-a716-446655440006,2026-05-20,PROCESSING,79900.00,Sarjapur Road Bangalore,2026-05-20T09:00:00Z,admin,2026-05-20T09:00:00Z,admin
880e8400-e29b-41d4-a716-446655440011,550e8400-e29b-41d4-a716-446655440007,2026-05-20,SHIPPED,114900.00,Koramangala Bangalore,2026-05-20T09:30:00Z,admin,2026-05-20T09:30:00Z,admin
880e8400-e29b-41d4-a716-446655440012,550e8400-e29b-41d4-a716-446655440008,2026-05-20,DELIVERED,41900.00,HSR Layout Bangalore,2026-05-20T10:00:00Z,admin,2026-05-20T10:00:00Z,admin
880e8400-e29b-41d4-a716-446655440013,550e8400-e29b-41d4-a716-446655440009,2026-05-20,CANCELLED,29990.00,Yelahanka Bangalore,2026-05-20T10:30:00Z,admin,2026-05-20T10:30:00Z,admin
880e8400-e29b-41d4-a716-446655440014,550e8400-e29b-41d4-a716-446655440010,2026-05-21,NEW,10995.00,Bellandur Bangalore,2026-05-21T08:00:00Z,admin,2026-05-21T08:00:00Z,admin
880e8400-e29b-41d4-a716-446655440015,550e8400-e29b-41d4-a716-446655440011,2026-05-21,PROCESSING,18999.00,Hebbal Bangalore,2026-05-21T08:30:00Z,admin,2026-05-21T08:30:00Z,admin
880e8400-e29b-41d4-a716-446655440016,550e8400-e29b-41d4-a716-446655440012,2026-05-21,SHIPPED,42999.00,Electronic City Bangalore,2026-05-21T09:00:00Z,admin,2026-05-21T09:00:00Z,admin
880e8400-e29b-41d4-a716-446655440017,550e8400-e29b-41d4-a716-446655440013,2026-05-21,DELIVERED,37999.00,KR Puram Bangalore,2026-05-21T09:30:00Z,admin,2026-05-21T09:30:00Z,admin
880e8400-e29b-41d4-a716-446655440018,550e8400-e29b-41d4-a716-446655440014,2026-05-22,NEW,58990.00,Whitefield Bangalore,2026-05-22T10:00:00Z,admin,2026-05-22T10:00:00Z,admin
880e8400-e29b-41d4-a716-446655440019,550e8400-e29b-41d4-a716-446655440015,2026-05-22,PROCESSING,11999.00,Domlur Bangalore,2026-05-22T10:30:00Z,admin,2026-05-22T10:30:00Z,admin
880e8400-e29b-41d4-a716-446655440020,550e8400-e29b-41d4-a716-446655440016,2026-05-22,SHIPPED,145000.00,JP Nagar Bangalore,2026-05-22T11:00:00Z,admin,2026-05-22T11:00:00Z,admin
880e8400-e29b-41d4-a716-446655440021,550e8400-e29b-41d4-a716-446655440017,2026-05-22,DELIVERED,1499.00,Gachibowli Hyderabad,2026-05-22T11:30:00Z,admin,2026-05-22T11:30:00Z,admin
880e8400-e29b-41d4-a716-446655440022,550e8400-e29b-41d4-a716-446655440018,2026-05-22,CANCELLED,74999.00,Anna Nagar Chennai,2026-05-22T12:00:00Z,admin,2026-05-22T12:00:00Z,admin
880e8400-e29b-41d4-a716-446655440023,550e8400-e29b-41d4-a716-446655440019,2026-05-22,NEW,17999.00,Rajouri Garden Delhi,2026-05-22T12:30:00Z,admin,2026-05-22T12:30:00Z,admin
880e8400-e29b-41d4-a716-446655440024,550e8400-e29b-41d4-a716-446655440020,2026-05-22,PROCESSING,62999.00,Sector 62 Noida,2026-05-22T13:00:00Z,admin,2026-05-22T13:00:00Z,admin
